Date,Product,Category,Sales,Quantity,Price
2024-01-01,Laptop,Electronics,106331.27,2,56000
2024-01-01,Smartphone,Electronics,148711.57,6,28000
2024-01-01,Monitor,Electronics,40148.35,3,15000
2024-01-01,Wireless Mouse,Accessories,9354.05,10,900
2024-01-01,Keyboard,Accessories,13056.79,8,1600
2024-01-01,Bluetooth Speaker,Accessories,13928.67,4,3200
2024-01-02,Laptop,Electronics,103347.99,2,56000
2024-01-02,Smartphone,Electronics,152220.31,5,28000
2024-01-02,Monitor,Electronics,83468.73,5,15000
2024-01-02,Wireless Mouse,Accessories,13124.97,15,900
2024-01-02,Keyboard,Accessories,13455.44,8,1600
2024-01-02,Bluetooth Speaker,Accessories,20831.71,6,3200
2024-01-03,Laptop,Electronics,238018.25,4,56000
2024-01-03,Smartphone,Electronics,128839.28,5,28000
2024-01-03,Monitor,Electronics,42666.58,3,15000
2024-01-03,Wireless Mouse,Accessories,8913.9,10,900
2024-01-03,Keyboard,Accessories,13423.34,9,1600
2024-01-03,Bluetooth Speaker,Accessories,30366.84,9,3200
2024-01-04,Laptop,Electronics,158626.48,3,56000
2024-01-04,Smartphone,Electronics,145132.6,5,28000
2024-01-04,Monitor,Electronics,44031.83,3,15000
2024-01-04,Wireless Mouse,Accessories,13825.2,15,900
2024-01-04,Keyboard,Accessories,19154.07,12,1600
2024-01-04,Bluetooth Speaker,Accessories,31280.64,9,3200
2024-01-05,Laptop,Electronics,183630.27,3,56000
2024-01-05,Smartphone,Electronics,166161.02,6,28000
2024-01-05,Monitor,Electronics,48456.91,3,15000
2024-01-05,Wireless Mouse,Accessories,7908.12,9,900
2024-01-05,Keyboard,Accessories,11443.15,7,1600
2024-01-05,Bluetooth Speaker,Accessories,27609.35,9,3200
2024-01-06,Laptop,Electronics,239991.06,4,56000
2024-01-06,Smartphone,Electronics,157682.62,6,28000
2024-01-06,Monitor,Electronics,74416.82,5,15000
2024-01-06,Wireless Mouse,Accessories,14263.99,16,900
2024-01-06,Keyboard,Accessories,21809.2,13,1600
2024-01-06,Bluetooth Speaker,Accessories,17721.97,6,3200
2024-01-07,Laptop,Electronics,216748.43,4,56000
2024-01-07,Smartphone,Electronics,124584.57,5,28000
2024-01-07,Monitor,Electronics,80475.21,5,15000
2024-01-07,Wireless Mouse,Accessories,15013.24,18,900
2024-01-07,Keyboard,Accessories,19186.23,13,1600
2024-01-07,Bluetooth Speaker,Accessories,21767.13,7,3200
2024-01-08,Laptop,Electronics,168449.03,3,56000
2024-01-08,Smartphone,Electronics,140779.61,5,28000
2024-01-08,Monitor,Electronics,70438.37,5,15000
2024-01-08,Wireless Mouse,Accessories,8714.36,9,900
2024-01-08,Keyboard,Accessories,13338.81,8,1600
2024-01-08,Bluetooth Speaker,Accessories,25827.63,9,3200
2024-01-09,Laptop,Electronics,149255.35,3,56000
2024-01-09,Smartphone,Electronics,137943.4,5,28000
2024-01-09,Monitor,Electronics,64021.15,4,15000
2024-01-09,Wireless Mouse,Accessories,6464.84,8,900
2024-01-09,Keyboard,Accessories,16815.42,10,1600
2024-01-09,Bluetooth Speaker,Accessories,16440.69,5,3200
2024-01-10,Laptop,Electronics,110971.36,2,56000
2024-01-10,Smartphone,Electronics,212159.14,7,28000
2024-01-10,Monitor,Electronics,59464.3,4,15000
2024-01-10,Wireless Mouse,Accessories,15203.75,16,900
2024-01-10,Keyboard,Accessories,8332.02,5,1600
2024-01-10,Bluetooth Speaker,Accessories,22287.13,7,3200
2024-01-11,Laptop,Electronics,162488.64,3,56000
2024-01-11,Smartphone,Electronics,119312.05,4,28000
2024-01-11,Monitor,Electronics,55144.77,4,15000
2024-01-11,Wireless Mouse,Accessories,14426.08,15,900
2024-01-11,Keyboard,Accessories,16454.46,11,1600
2024-01-11,Bluetooth Speaker,Accessories,18168.42,6,3200
2024-01-12,Laptop,Electronics,246854.59,4,56000
2024-01-12,Smartphone,Electronics,127880.6,5,28000
2024-01-12,Monitor,Electronics,43551.37,3,15000
2024-01-12,Wireless Mouse,Accessories,7220.45,8,900
2024-01-12,Keyboard,Accessories,10152.96,7,1600
2024-01-12,Bluetooth Speaker,Accessories,15324.0,5,3200
2024-01-13,Laptop,Electronics,160418.19,3,56000
2024-01-13,Smartphone,Electronics,161297.54,6,28000
2024-01-13,Monitor,Electronics,40553.49,3,15000
2024-01-13,Wireless Mouse,Accessories,9230.58,11,900
2024-01-13,Keyboard,Accessories,11946.66,7,1600
2024-01-13,Bluetooth Speaker,Accessories,24213.0,8,3200
2024-01-14,Laptop,Electronics,215273.47,4,56000
2024-01-14,Smartphone,Electronics,107752.15,4,28000
2024-01-14,Monitor,Electronics,71096.06,5,15000
2024-01-14,Wireless Mouse,Accessories,10805.59,11,900
2024-01-14,Keyboard,Accessories,16936.06,10,1600
2024-01-14,Bluetooth Speaker,Accessories,30264.02,10,3200
2024-01-15,Laptop,Electronics,153210.36,3,56000
2024-01-15,Smartphone,Electronics,210697.93,7,28000
