Date,Product,Category,Sales,Quantity,Price
2024-01-01,Laptop,Electronics,412400.57,7,55000
2024-01-01,Smartphone,Electronics,221692.49,7,30000
2024-01-01,Headphones,Accessories,12790.55,5,2500
2024-01-01,Keyboard,Accessories,2752.32,2,1500
2024-01-01,Mouse,Accessories,2376.53,3,800
2024-01-01,Office Chair,Furniture,46092.04,5,9000
2024-01-01,Desk,Furniture,31857.85,3,12000
2024-01-01,Monitor,Electronics,31598.39,2,15000
2024-01-02,Laptop,Electronics,307217.26,6,55000
2024-01-02,Smartphone,Electronics,110882.05,4,30000
2024-01-02,Headphones,Accessories,10267.97,4,2500
2024-01-02,Keyboard,Accessories,7377.5,5,1500
2024-01-02,Mouse,Accessories,804.76,1,800
2024-01-02,Office Chair,Furniture,57549.15,7,9000
2024-01-02,Desk,Furniture,53457.66,4,12000
2024-01-02,Monitor,Electronics,103892.96,7,15000
2024-01-03,Laptop,Electronics,395938.87,7,55000
2024-01-03,Smartphone,Electronics,120409.95,4,30000
2024-01-03,Headphones,Accessories,2227.87,1,2500
2024-01-03,Keyboard,Accessories,4694.73,3,1500
2024-01-03,Mouse,Accessories,716.49,1,800
2024-01-03,Office Chair,Furniture,39820.62,4,9000
2024-01-03,Desk,Furniture,77329.11,6,12000
2024-01-03,Monitor,Electronics,13257.48,1,15000
2024-01-04,Laptop,Electronics,114863.75,2,55000
2024-01-04,Smartphone,Electronics,219236.48,7,30000
2024-01-04,Headphones,Accessories,9988.42,4,2500
2024-01-04,Keyboard,Accessories,9676.88,7,1500
2024-01-04,Mouse,Accessories,753.69,1,800
2024-01-04,Office Chair,Furniture,34373.18,4,9000
2024-01-04,Desk,Furniture,66953.23,6,12000
2024-01-04,Monitor,Electronics,55461.9,4,15000
2024-01-05,Laptop,Electronics,416627.11,7,55000
2024-01-05,Smartphone,Electronics,132657.57,4,30000
2024-01-05,Headphones,Accessories,16535.97,6,2500
2024-01-05,Keyboard,Accessories,11563.12,7,1500
2024-01-05,Mouse,Accessories,4449.77,6,800
2024-01-05,Office Chair,Furniture,9996.13,1,9000
2024-01-05,Desk,Furniture,58396.95,5,12000
2024-01-05,Monitor,Electronics,30285.78,2,15000
2024-01-06,Laptop,Electronics,122282.74,2,55000
2024-01-06,Smartphone,Electronics,121229.65,4,30000
2024-01-06,Headphones,Accessories,2377.76,1,2500
2024-01-06,Keyboard,Accessories,6734.19,5,1500
2024-01-06,Mouse,Accessories,6282.34,8,800
2024-01-06,Office Chair,Furniture,8349.23,1,9000
2024-01-06,Desk,Furniture,103268.23,8,12000
2024-01-06,Monitor,Electronics,15760.83,1,15000
2024-01-07,Laptop,Electronics,175742.31,3,55000
2024-01-07,Smartphone,Electronics,165346.83,5,30000
2024-01-07,Headphones,Accessories,4539.04,2,2500
2024-01-07,Keyboard,Accessories,13008.11,8,1500
2024-01-07,Mouse,Accessories,3070.13,4,800
2024-01-07,Office Chair,Furniture,68733.77,8,9000
2024-01-07,Desk,Furniture,63306.33,5,12000
2024-01-07,Monitor,Electronics,98363.8,6,15000
2024-01-08,Laptop,Electronics,53454.63,1,55000
2024-01-08,Smartphone,Electronics,220747.54,7,30000
2024-01-08,Headphones,Accessories,2633.04,1,2500
2024-01-08,Keyboard,Accessories,11182.84,7,1500
2024-01-08,Mouse,Accessories,4982.34,7,800
2024-01-08,Office Chair,Furniture,61904.42,7,9000
2024-01-08,Desk,Furniture,23650.58,2,12000
2024-01-08,Monitor,Electronics,39939.44,3,15000
2024-01-09,Laptop,Electronics,382724.21,7,55000
2024-01-09,Smartphone,Electronics,150308.54,5,30000
2024-01-09,Headphones,Accessories,13701.59,6,2500
2024-01-09,Keyboard,Accessories,10274.16,7,1500
2024-01-09,Mouse,Accessories,2228.96,3,800
2024-01-09,Office Chair,Furniture,40431.38,5,9000
2024-01-09,Desk,Furniture,37682.94,3,12000
2024-01-09,Monitor,Electronics,66187.65,4,15000
2024-01-10,Laptop,Electronics,261511.82,5,55000
2024-01-10,Smartphone,Electronics,163372.58,5,30000
2024-01-10,Headphones,Accessories,9324.26,4,2500
2024-01-10,Keyboard,Accessories,6565.28,4,1500
2024-01-10,Mouse,Accessories,2298.82,3,800
2024-01-10,Office Chair,Furniture,68988.9,7,9000
2024-01-10,Desk,Furniture,92201.66,7,12000
2024-01-10,Monitor,Electronics,14020.57,1,15000
2024-01-11,Laptop,Electronics,290441.21,6,55000
2024-01-11,Smartphone,Electronics,162986.3,5,30000
2024-01-11,Headphones,Accessories,16091.55,7,2500
2024-01-11,Keyboard,Accessories,4410.8,3,1500
2024-01-11,Mouse,Accessories,4184.74,5,800
2024-01-11,Office Chair,Furniture,17298.5,2,9000
2024-01-11,Desk,Furniture,77312.75,7,12000
2024-01-11,Monitor,Electronics,14653.81,1,15000
2024-01-12,Laptop,Electronics,367365.14,6,55000
2024-01-12,Smartphone,Electronics,112710.03,4,30000
2024-01-12,Headphones,Accessories,17488.44,7,2500
2024-01-12,Keyboard,Accessories,1373.31,1,1500
2024-01-12,Mouse,Accessories,755.22,1,800
2024-01-12,Office Chair,Furniture,18011.57,2,9000
2024-01-12,Desk,Furniture,63931.12,6,12000
2024-01-12,Monitor,Electronics,15483.66,1,15000
2024-01-13,Laptop,Electronics,301875.67,6,55000
2024-01-13,Smartphone,Electronics,118496.16,4,30000
2024-01-13,Headphones,Accessories,14071.4,6,2500
2024-01-13,Keyboard,Accessories,5396.43,4,1500
2024-01-13,Mouse,Accessories,2251.48,3,800
2024-01-13,Office Chair,Furniture,52286.47,6,9000
2024-01-13,Desk,Furniture,53569.03,4,12000
2024-01-13,Monitor,Electronics,90772.73,6,15000
2024-01-14,Laptop,Electronics,50389.47,1,55000
